detail_code_or_segment,official_name,scope_type,collect_track,review_status,enabled,rationale,reviewed_at
4299050201,자동혈구계산기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299050301,젖산측정장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299050401,혈액가스분석장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299050501,적혈구침강속도측정장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299050601,자동헤파린분석장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299050701,혈액점도계,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299070101,혈액응고시간분석장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299070201,자동혈소판응집측정장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299080101,체액점도장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299080201,의료용삼투압장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299090101,요화학분석기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299090201,분변분석장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299090301,요비중장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299100101,의료용효소면역검사장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299100201,의료용면역형광측정장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299100301,의료용면역발광측정장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299100401,의료용면역비탁측정장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299100501,의료용면역흡광측정장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299100601,의료용면역희석판정장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
